Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Driving licence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6877628f173902b7e9ae0fa9,67605957a8b2f5234846b2c8,AWAITING REVIEW,Not Applicable,2025-07-16T08:28:13.603000Z,2025-07-16T08:55:04.075000Z,,2025-07-16T08:55:04.502117Z,1611.0,NOCODE,129,Yes,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68776296597c5b18ebe5f25e,632c673f8b99c86ac2fba537,AWAITING REVIEW,Not Applicable,2025-07-16T08:37:16.475000Z,2025-07-16T09:21:53.212000Z,,2025-07-16T09:21:54.188691Z,2677.0,NOCODE,2801,Yes,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
687762eb07ac958e37d0f6ba,67798247d6fc9e510470baef,AWAITING REVIEW,Not Applicable,2025-07-16T08:29:39.680000Z,2025-07-16T09:01:52.406000Z,,2025-07-16T09:01:52.813036Z,1933.0,NOCODE,221,Yes,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6877630f7481eee9490af189,678ed26226d6c1e19332357e,AWAITING REVIEW,Not Applicable,2025-07-16T08:30:13.131000Z,2025-07-16T08:51:27.045000Z,,2025-07-16T08:51:27.469582Z,1274.0,No Code Was Given,274,Yes,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6877632c1264ecc328691ce6,666216dbc143ca548bcab068,AWAITING REVIEW,Not Applicable,2025-07-16T08:30:39.553000Z,2025-07-16T08:51:08.054000Z,,2025-07-16T08:51:08.529478Z,1229.0,NOCODE,248,Yes,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
687763303bea03d8381fc271,5e50ecfc5bac4311db8b381b,AWAITING REVIEW,Not Applicable,2025-07-16T08:30:44.329000Z,2025-07-16T09:00:15.538000Z,,2025-07-16T09:00:15.967291Z,1772.0,NOCODE,1782,Yes,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68776350ab6a1e808a68266f,5c598ae2d960370001f8b969,AWAITING REVIEW,Not Applicable,2025-07-16T08:31:12.096000Z,2025-07-16T08:54:22.190000Z,,2025-07-16T08:54:22.640214Z,1391.0,NOCODE,508,Yes,29,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6877638e8cdaded24685dd0a,67e23f61d6642c6710f62686,AWAITING REVIEW,Not Applicable,2025-07-16T08:32:20.315000Z,2025-07-16T09:16:47.961000Z,,2025-07-16T09:16:48.394539Z,2668.0,NOCODE,1613,Yes,34,Male,White,United States,United States,United States,English,No,Full-Time
687763ab5a52e998bfd03671,64f9f86e6bf2358fd13945f1,AWAITING REVIEW,Not Applicable,2025-07-16T08:33:02.555000Z,2025-07-16T09:23:23.148000Z,,2025-07-16T09:23:23.573601Z,3021.0,NOCODE,823,Yes,46,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
68776411aebd71bade8c4123,657bd47cdd8ce6a5aadd4c69,AWAITING REVIEW,Not Applicable,2025-07-16T08:34:25.664000Z,2025-07-16T09:36:10.132000Z,,2025-07-16T09:36:10.543211Z,3705.0,NOCODE,182,Yes,32,Male,Black,South Africa,South Africa,South Africa,Other,DATA_EXPIRED,DATA_EXPIRED
68776479d52673e0e5d7b5d4,66e2a65068f02ee11a049e70,AWAITING REVIEW,Not Applicable,2025-07-16T08:36:19.717000Z,2025-07-16T09:48:23.707000Z,,2025-07-16T09:48:24.160304Z,4324.0,NOCODE,463,Yes,34,Female,Asian,India,India,India,English,No,Part-Time
68776488022ff774da5b9da9,665017cd16c82792f5b364ef,AWAITING REVIEW,Not Applicable,2025-07-16T08:37:54.246000Z,2025-07-16T09:21:56.886000Z,,2025-07-16T09:21:57.329753Z,2643.0,NOCODE,323,Yes,25,Male,Black,Kenya,Kenya,Kenya,English,Yes,Part-Time
68776e38cbaa21cc90c357ef,661fcd42e06a76702b43ba20,AWAITING REVIEW,Not Applicable,2025-07-16T09:17:44.107000Z,2025-07-16T09:36:53.221000Z,,2025-07-16T09:36:53.638726Z,1150.0,NOCODE,109,Yes,38,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
687777775b76c2602499a091,60b7e1bcfe148de04d17624b,AWAITING REVIEW,Not Applicable,2025-07-16T09:57:11.272000Z,2025-07-16T11:07:45.312000Z,,2025-07-16T11:07:45.884784Z,4235.0,NOCODE,1228,Yes,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
68777a4b88e26a3a375d2469,60fe8de5380ae67bf7370ac8,AWAITING REVIEW,Not Applicable,2025-07-16T10:09:15.515000Z,2025-07-16T10:46:22.177000Z,,2025-07-16T10:46:22.646236Z,2227.0,NOCODE,2868,Yes,33,Female,Asian,India,United Kingdom,India,Hindi,DATA_EXPIRED,Part-Time
687762891320f1d4914ba876,5f733312e59fd2000a74b8cf,RETURNED,Not Applicable,2025-07-16T08:29:21.079000Z,,,,,,490,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6877629b4fe4de7ffc7de946,67529d0aecb73bfe140d521f,RETURNED,Not Applicable,2025-07-16T08:28:11.180000Z,,,,,,1183,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687762e0ebdb0ee0ab9e6039,659bff220187bfca6786a1ec,RETURNED,Not Applicable,,,,,,,91,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687762e3d83c46fb1f2170e4,67cec27daaf29e150e2440c0,RETURNED,Not Applicable,2025-07-16T08:29:27.731000Z,,,,,,199,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687762ff5cb3844968bdde5e,66f4208475ec557757cbc6b0,TIMED-OUT,Not Applicable,2025-07-16T08:29:54.642000Z,,,,75663.0,,514,Yes,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
687765d15cd31f8003967d0b,63d16bb09fbf6b74afb1a010,REJECTED,Not Applicable,2025-07-16T08:41:56.449000Z,2025-07-16T08:57:42.839000Z,2025-07-16T10:01:49.456000Z,2025-07-16T08:57:43.302000Z,947.0,NOCODE,3225,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68776da7b1f3f60a851b7f2c,5f84e472052cf81ae5752252,RETURNED,Not Applicable,2025-07-16T09:15:24.652000Z,,,,,,4734,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
